,link,#_clicks,most_freq_positioning
1751,government,72.0,top
1752,government of france,7.0,bottom
1753,gowanus canal,0.0,bottom
1754,grand canal of china,2.0,center-top
1755,grand canyon,7.0,center
1756,grand central station (chicago),0.0,bottom
1757,grand central terminal,8.0,center-top
1758,"grand forks, north dakota",0.0,bottom
1759,grand slam (tennis),10.0,bottom
1760,grange hill,1.0,bottom
1761,granite,19.0,center-top
1762,graniteville train disaster,0.0,bottom
1763,grape seed oil,4.0,bottom
1764,graphic novel,16.0,bottom
1765,gravitation,45.0,top
1766,gray wolf,8.0,center-top
1767,gray reef shark,2.0,center-top
1768,grease (film),2.0,bottom
1769,great auk,2.0,center
1770,great barrier reef,16.0,center
1771,great black-backed gull,2.0,bottom
1772,great britain,198.0,top
1773,great bustard,0.0,bottom
1774,great comet of 1882,3.0,bottom
1775,great cormorant,2.0,top
1776,great crested grebe,3.0,bottom
1777,great lakes,31.0,top
1778,great lakes storm of 1913,1.0,center
1779,great moravia,2.0,top
1780,great pyramid of giza,32.0,bottom
1781,great red spot,8.0,top
1782,great rift valley,7.0,top
1783,great salt lake,8.0,top
1784,great spotted woodpecker,1.0,bottom
1785,great tit,0.0,bottom
1786,great wall of china,10.0,top
1787,great yarmouth,1.0,center-bottom
1788,great comet,3.0,center-top
1789,great hammerhead,0.0,bottom
1790,great white shark,10.0,center-bottom
1791,greater cane rat,0.0,bottom
1792,greco-buddhism,2.0,center-top
1793,greece,95.0,bottom
1794,greek war of independence,6.0,top
1795,greek mythology,92.0,top
1796,green woodpecker,0.0,bottom
1797,greenhouse effect,32.0,center-top
1798,greenland,32.0,top
1799,greg lemond,2.0,center
1800,gregor mendel,7.0,center-bottom
1801,gregorian chant,9.0,top
1802,gremlins,0.0,bottom
1803,grenada,4.0,top
1804,grevy's zebra,3.0,center-bottom
1805,group (mathematics),2.0,bottom
1806,grover cleveland,1.0,bottom
1807,guadeloupe,4.0,top
1808,guam,8.0,top
1809,guangzhou,3.0,top
1810,guatemala,13.0,top
1811,guernsey,1.0,bottom
1812,guglielmo marconi,4.0,top
1813,guild,10.0,top
1814,guinea,5.0,bottom
1815,guinea-bissau,2.0,bottom
1816,guinness,8.0,center-bottom
1817,guitar,34.0,center-bottom
1818,gulf of mexico,45.0,top
1819,gull,6.0,top
1820,gunpowder,12.0,center-top
1821,guqin,1.0,center-top
1822,gustav holst,4.0,center-top
1823,gustavus franklin swift,0.0,bottom
1824,guyana,4.0,top
1825,gyeongju,0.0,center-bottom
1826,gypsum,5.0,center-bottom
1827,hänsel und gretel,0.0,center-bottom
1828,h.d.,5.0,bottom
1829,h5n1,2.0,center
1830,hd 209458 b,5.0,center-bottom
1831,hd 217107,0.0,top
1832,hd 217107 b,0.0,bottom
1833,hd 217107 c,0.0,bottom
1834,hd 28185,0.0,top
1835,hd 28185 b,0.0,center-bottom
1836,hiv,18.0,center-bottom
1837,hiv aids in africa,0.0,bottom
1838,hms e18,0.0,bottom
1839,hsbc,6.0,center
1840,http cookie,6.0,bottom
1841,h ii region,1.0,top
1842,habsburg spain,3.0,center-top
1843,hadrian's wall,3.0,center-top
1844,haemophilia,3.0,bottom
1845,hafnium,4.0,center-bottom
1846,haiti,20.0,top
1847,haji mohammad suharto,0.0,bottom
1848,halfbeak,0.0,bottom
1849,halloween,15.0,bottom
1850,hamburg,3.0,top
1851,hamilton-burr duel,0.0,bottom
1852,hammurabi,5.0,top
1853,hampshire,6.0,top
1854,hampstead heath,1.0,top
1855,hannibal barca,3.0,center
1856,hanoi,4.0,center-top
1857,harald maddadsson,4.0,center-top
1858,haraldskær woman,2.0,center-bottom
1859,harare,0.0,center-top
1860,hardball squash,1.0,bottom
1861,harlem globetrotters,5.0,center-top
1862,harley-davidson,2.0,top
1863,harold macmillan,5.0,bottom
1864,harold wilson,1.0,center
1865,harrier hawk,0.0,center-top
1866,harry potter,27.0,bottom
1867,harry s. truman,9.0,top
1868,harvest,13.0,center
1869,hasekura tsunenaga,2.0,top
1870,hassium,2.0,bottom
1871,hatshepsut,3.0,top
1872,hawaiian goose,4.0,center-bottom
1873,hawfinch,0.0,bottom
1874,hawk,6.0,center-bottom
1875,hawk-eye,7.0,center-top
1876,hawking radiation,2.0,center-bottom
1877,health,27.0,top
1878,heard island and mcdonald islands,0.0,center
1879,heat,33.0,top
1880,hebrew calendar,4.0,center-bottom
1881,hebrew language,22.0,center
1882,hebrides,2.0,top
1883,heilbronn,0.0,bottom
1884,helen,8.0,top
1885,helen gandy,3.0,center-top
1886,helicobacter pylori,0.0,bottom
1887,heliocentrism,10.0,top
1888,helium,13.0,top
1889,hellenistic greece,14.0,top
1890,hello garci scandal,2.0,bottom
1891,helmeted guineafowl,1.0,center
1892,helsinki,4.0,center-top
1893,henipavirus,1.0,center-bottom
1894,henri matisse,0.0,bottom
1895,henrik ibsen,4.0,center-bottom
1896,henry david thoreau,1.0,center
1897,henry fonda,3.0,bottom
1898,henry ford,10.0,center
1899,henry h. rogers,3.0,center-top
1900,henry iii of england,6.0,center-bottom
1901,henry ii of england,10.0,center-top
1902,henry iv of england,4.0,center
1903,henry i of england,3.0,center-bottom
1904,henry james,6.0,center-top
1905,henry moore,0.0,bottom
1906,henry morrison flagler,4.0,center-top
1907,henry morton stanley,2.0,center-top
1908,henry purcell,2.0,center
1909,henry rollins,1.0,bottom
1910,henry viii of england,24.0,top
1911,henry vii of england,9.0,center-bottom
1912,henry vi of england,2.0,top
1913,henry v of england,2.0,top
1914,henry wood (conductor),0.0,bottom
1915,hepatocellular carcinoma,1.0,center
1916,hepatorenal syndrome,0.0,bottom
1917,heracles,13.0,top
1918,heraclius,5.0,bottom
1919,heraldry,10.0,bottom
1920,herbert hoover,3.0,center
1921,herbig-haro object,0.0,bottom
1922,herbivore,100.0,top
1923,hermann maier,0.0,bottom
1924,hernán cortés,10.0,top
1925,hero of ukraine,0.0,bottom
1926,hero of the russian federation,9.0,top
1927,herodotus,2.0,top
1928,heron,3.0,center-bottom
1929,herrerasaurus,0.0,bottom
1930,herring gull,0.0,bottom
1931,hey jude,7.0,top
1932,hickman's potentilla,0.0,bottom
1933,high german consonant shift,5.0,top
1934,hilda of whitby,3.0,top
1935,himalayas,23.0,top
1936,himno nacional mexicano,0.0,bottom
1937,hindi,11.0,center-bottom
1938,hinduism,34.0,top
1939,hip hop music,53.0,top
1940,hippocrates,8.0,top
1941,hippopotamus,12.0,top
1942,hiroh kikai,0.0,bottom
1943,hirohito,6.0,top
1944,history,49.0,top
1945,history of alaska,0.0,bottom
1946,history of anglo-saxon england,15.0,top
1947,history of arizona,3.0,bottom
1948,history of buddhism,4.0,bottom
1949,history of burnside,0.0,bottom
1950,history of cape colony from 1806 to 1870,0.0,bottom
1951,history of cape colony from 1870 to 1899,0.0,bottom
1952,history of central asia,2.0,bottom
1953,history of earth,15.0,bottom
1954,history of greece,14.0,top
1955,history of greenland,4.0,bottom
1956,history of limerick,0.0,bottom
1957,"history of louisville, kentucky",0.0,bottom
1958,"history of miami, florida",0.0,bottom
1959,history of new jersey,1.0,bottom
1960,history of northwest territories capital cities,0.0,bottom
1961,history of poland (1945–1989),0.0,bottom
1962,history of portugal (1777–1834),0.0,bottom
1963,history of puerto rico,4.0,bottom
1964,history of russia,6.0,bottom
1965,history of singapore,0.0,bottom
1966,history of solidarity,0.0,bottom
1967,history of south africa,3.0,center-bottom
1968,history of south africa in the apartheid era,5.0,center-top
1969,history of south carolina,1.0,bottom
1970,history of wikipedia,0.0,bottom
1971,history of computing hardware,14.0,bottom
1972,history of democracy,5.0,center-bottom
1973,history of education,0.0,bottom
1974,history of merit badges (boy scouts of america),0.0,bottom
1975,history of nuclear weapons,5.0,bottom
1976,history of painting,0.0,top
1977,history of post-soviet russia,1.0,bottom
1978,history of saffron,0.0,bottom
1979,history of science,19.0,top
1980,history of slavery,9.0,bottom
1981,history of the australian capital territory,0.0,bottom
1982,history of the grand canyon area,0.0,bottom
1983,history of the internet,13.0,bottom
1984,history of the netherlands,0.0,bottom
1985,history of the panama canal,0.0,bottom
1986,history of the portuguese communist party,0.0,bottom
1987,history of the royal australian navy,0.0,bottom
1988,history of the west indian cricket team,0.0,bottom
1989,history of the world,18.0,bottom
1990,ho chi minh,4.0,bottom
1991,ho chi minh city,7.0,top
1992,holkham hall,0.0,center-top
1993,hollandic,1.0,center-bottom
1994,holmium,1.0,center-bottom
1995,holy roman empire,68.0,top
1996,homer,23.0,top
1997,homestar runner,7.0,bottom
1998,homo floresiensis,2.0,top
1999,honduras,7.0,top
2000,honey,18.0,top
2001,honey bee,2.0,bottom
2002,hong kong,19.0,top
2003,hoover dam,7.0,top
2004,hopman cup,1.0,center-top
2005,"horatio nelson, 1st viscount nelson",2.0,bottom
2006,horn of africa,10.0,top
2007,horse,30.0,center-top
2008,hot air balloon,8.0,center
2009,house,9.0,bottom
2010,house martin,2.0,bottom
2011,house sparrow,6.0,center
2012,house of lords,17.0,top
2013,household income in the united states,11.0,bottom
2014,"houston, texas",18.0,center-top
2015,hovercraft,10.0,top
2016,howards end,3.0,center-bottom
2017,howland island,3.0,center-top
2018,hrafnkels saga,0.0,bottom
2019,hubbard glacier,4.0,top
2020,hubble's law,6.0,top
2021,hubble deep field,5.0,center-bottom
2022,hubble space telescope,30.0,center-bottom
2023,hudson bay,4.0,top
2024,hugo wolf,2.0,center-bottom
2025,human,469.0,top
2026,human abdomen,0.0,bottom
2027,human dignity,6.0,top
2028,human rights,50.0,top
2029,humanism,13.0,center-bottom
2030,humanities,19.0,top
2031,humbert roque versace,0.0,bottom
2032,humour,14.0,bottom
2033,humpback whale,7.0,top
2034,humphry davy,5.0,top
2035,humus,4.0,center
2036,hundred years' war,7.0,top
2037,hungary,14.0,bottom
2038,hunger,10.0,center-bottom
2039,huntington's disease,11.0,center-bottom
2040,hurricane alex (2004),4.0,bottom
2041,hurricane andrew,7.0,center-top
2042,hurricane camille,8.0,center-top
2043,hurricane charley,2.0,top
2044,hurricane danny (1997),0.0,bottom
2045,hurricane david,2.0,bottom
2046,hurricane dennis,5.0,bottom
2047,hurricane edouard (1996),0.0,bottom
2048,hurricane epsilon (2005),1.0,bottom
2049,hurricane felix (1995),0.0,bottom
2050,hurricane floyd,2.0,center-top
2051,hurricane georges,1.0,bottom
2052,hurricane gloria,2.0,center-bottom
2053,hurricane ivan,3.0,center-bottom
2054,hurricane john (1994),0.0,bottom
2055,hurricane john (2006),0.0,bottom
2056,hurricane katrina,25.0,bottom
2057,hurricane lenny,2.0,bottom
2058,hurricane marty (2003),0.0,bottom
2059,hurricane mitch,1.0,bottom
2060,hurricane philippe (2005),1.0,bottom
2061,hurricane vince (2005),6.0,bottom
2062,husein gradaščević,1.0,center-top
2063,hutu,1.0,top
2064,"hyde park, london",3.0,center-top
2065,hydrochloric acid,13.0,top
2066,hydrogen,60.0,top
2067,hydrogen peroxide,2.0,center-bottom
2068,hydrology,4.0,bottom
2069,hyena,17.0,center
2070,hymenoptera,9.0,top
2071,hypsilophodon,0.0,bottom
2072,ig farben building,4.0,bottom
2073,ipod,20.0,bottom
2074,itunes,13.0,center-bottom
2075,i ching,2.0,center-bottom
2076,i want to hold your hand,6.0,top
2077,ibn battuta,1.0,center-top
2078,ice,20.0,top
2079,ice age,47.0,center-top
2080,ice hockey,16.0,bottom
2081,ice sheet,11.0,top
2082,iceland,55.0,bottom
2083,iceland hotspot,2.0,top
2084,ichthyosaur,9.0,bottom
2085,idit harel caperton,1.0,bottom
2086,idolatry,7.0,top
2087,igneous rock,14.0,top
2088,igor stravinsky,5.0,bottom
2089,iguanodon,4.0,bottom
2090,ike altgens,0.0,center-top
2091,imagism,2.0,top
2092,immanuel kant,7.0,center
2093,imperative programming,5.0,top
2094,imperial japanese navy,12.0,top
2095,impressionism,20.0,center-top
2096,inca empire,18.0,top
2097,income disparity,4.0,center
2098,india,369.0,top
2099,indian institutes of technology,0.0,bottom
2100,indian ocean,56.0,top
2101,indian peafowl,2.0,bottom
2102,indian railways,0.0,center-bottom
2103,indian standard time,4.0,bottom
2104,indian cricket team,2.0,bottom
2105,indian independence movement,12.0,top
2106,indira gandhi,9.0,center-top
2107,indium,1.0,center-bottom
2108,indo-greek kingdom,5.0,center
2109,indonesia,34.0,center-bottom
2110,indonesian language,5.0,bottom
2111,indricotherium,2.0,center-bottom
2112,inductance,1.0,center-bottom
2113,indus river,12.0,center
2114,indus valley civilization,15.0,top
2115,industrial revolution,131.0,top
2116,industry,36.0,top
2117,information,61.0,top
2118,infrastructure,21.0,top
2119,inner hebrides,1.0,center
2120,insect,39.0,center-top
2121,insulin,7.0,bottom
2122,integrated circuit,24.0,top
2123,intel corporation,4.0,bottom
2124,intelligence,14.0,center-top
2125,interbase,0.0,bottom
2126,international court of justice,5.0,center-top
2127,international english,0.0,bottom
2128,international red cross and red crescent movement,3.0,bottom
2129,international space station,27.0,bottom
2130,international human rights instruments,3.0,top
2131,international law,15.0,top
2132,internet,288.0,bottom
2133,internet explorer,10.0,bottom
2134,interpol,4.0,bottom
2135,introduction to special relativity,0.0,bottom
2136,invasion,9.0,top
2137,invasion of grenada,3.0,center
2138,invasive species,10.0,center
2139,invertebrate,23.0,top
2140,investment banking,9.0,top
2141,iodine,2.0,center-top
2142,iowa class battleship,0.0,bottom
2143,ipswich,2.0,center
2144,iran,41.0,bottom
2145,iranian peoples,6.0,bottom
2146,iraq,41.0,bottom
2147,iraq war,4.0,center-bottom
2148,iraq and weapons of mass destruction,0.0,bottom
2149,ireland,84.0,top
2150,ireland king of arms,0.0,bottom
2151,iridium,3.0,top
2152,irish sea,14.0,top
2153,irish people,7.0,bottom
2154,irish poetry,5.0,center-top
2155,irish theatre,4.0,bottom
2156,iron,71.0,top
2157,iron(iii) chloride,3.0,center-top
2158,iron age,25.0,top
2159,iron maiden,2.0,bottom
2160,iron mike,0.0,top
2161,irrigation,71.0,top
2162,isaac,5.0,top
2163,isaac asimov,13.0,bottom
2164,isaac brock,1.0,center-top
2165,isaac newton,64.0,top
2166,isambard kingdom brunel,3.0,top
2167,isan,2.0,center-bottom
2168,ishango bone,2.0,top
2169,isis,4.0,center-top
2170,islam,97.0,top
2171,islamic republic,3.0,center-top
2172,island fox,3.0,bottom
2173,isle of man,19.0,top
2174,isle of wight,5.0,center-top
2175,isles of scilly,8.0,top
2176,isospin,2.0,bottom
2177,israel,36.0,center-bottom
2178,issyk kul,3.0,center-top
2179,istanbul,13.0,center-top
2180,italian renaissance,32.0,top
2181,italian war of 1521,0.0,top
2182,italo disco,3.0,bottom
2183,italy,241.0,top
2184,ivan iv of russia,3.0,bottom
2185,ivory,13.0,top
2186,ivory-billed woodpecker,4.0,bottom
2187,jórvík,0.0,bottom
2188,józef piłsudski,1.0,top
2189,j. j. thomson,3.0,top
2190,j. k. rowling,17.0,top
2191,j. m. w. turner,2.0,center-bottom
2192,j. r. r. tolkien,15.0,center-bottom
2193,j. s. fry & sons,4.0,bottom
2194,jack kerouac,4.0,bottom
2195,jackal,2.0,center
2196,jackanory,1.0,center-bottom
2197,jackdaw,0.0,center-top
2198,jackie robinson,4.0,top
2199,jacob riis,0.0,bottom
2200,jacobite rising,3.0,center-top
2201,jacques-louis david,5.0,center
2202,jacques cartier,6.0,top
2203,jakarta,5.0,top
2204,jake gyllenhaal,2.0,bottom
2205,jamaica,35.0,top
2206,james bond,12.0,bottom
2207,james buchanan,3.0,top
2208,james callaghan,2.0,center-top
2209,james clerk maxwell,15.0,top
2210,james cook,7.0,top
2211,james d. watson,7.0,center-top
2212,james garfield,5.0,top
2213,james ii of england,8.0,top
2214,james i of england,18.0,center-bottom
2215,james joyce,8.0,bottom
2216,james k. polk,3.0,center
2217,james lovelock,6.0,center-bottom
2218,james monroe,3.0,center-top
2219,james stewart (actor),2.0,bottom
2220,"james t. aubrey, jr.",0.0,bottom
2221,james watt,7.0,top
2222,jan mayen,4.0,top
2223,jane austen,10.0,center-bottom
2224,jane eyre,3.0,bottom
2225,jane fonda,1.0,center-bottom
2226,japan,188.0,top
2227,japanese grammar,0.0,bottom
2228,japanese war crimes,3.0,bottom
2229,japanese yen,3.0,center-bottom
2230,jarvis island,1.0,center-top
2231,jaws (film),6.0,bottom
2232,jazz,61.0,top
2233,jean-jacques rousseau,9.0,center
2234,jean charles de menezes,0.0,center-bottom
2235,jehovah,5.0,center-bottom
2236,jerry fodor,0.0,bottom
2237,jersey,6.0,top
2238,jersey zoological park,2.0,center-bottom
2239,jerusalem,17.0,top
2240,jesse owens,1.0,center-top
2241,jesus,102.0,top
2242,jet set willy,5.0,bottom
2243,jet engine,20.0,center-top
2244,jew,86.0,top
2245,jewellery,6.0,bottom
2246,jiaogulan,2.0,top
2247,jimmy carter,8.0,center-bottom
2248,jimmy wales,3.0,top
2249,joan of arc,3.0,top
2250,jocelin,5.0,bottom
2251,joel brand,0.0,center
2252,johann pachelbel,5.0,bottom
2253,johann sebastian bach,9.0,center-top
2254,johann wolfgang goethe,7.0,center-bottom
2255,johannes gutenberg,3.0,center
2256,johannes kepler,9.0,top
2257,johannes ockeghem,2.0,center-bottom
2258,johannesburg,8.0,top
2259,john a.t. robinson,0.0,bottom
2260,john adams,4.0,top
2261,john bull (locomotive),0.0,bottom
2262,john cabot,10.0,top
2263,john calvin,6.0,top
2264,john constable,4.0,center
2265,john dee,4.0,center-bottom
2266,john f. kennedy,32.0,top
2267,john f. kennedy assassination,7.0,center
2268,john flamsteed,0.0,center-bottom
2269,john henninger reagan,0.0,bottom
2270,john howard,1.0,bottom
2271,john locke,12.0,center
2272,john logie baird,3.0,top
2273,john marshall,0.0,center-bottom
2274,john maynard keynes,7.0,center-top
2275,john mcenroe,5.0,center-top
2276,john millington synge,2.0,center-top
2277,john milton,5.0,center-bottom
2278,john pershing,2.0,bottom
2279,"john seigenthaler, sr.",4.0,center
2280,john sentamu,2.0,bottom
2281,john tyler,2.0,center
2282,john vanbrugh,2.0,bottom
2283,john w. campbell,2.0,top
2284,john w. johnston,0.0,bottom
2285,john of england,4.0,top
2286,john von neumann,5.0,bottom
2287,johnny appleseed,4.0,bottom
2288,johnston atoll,0.0,bottom
2289,jomsvikings,4.0,center-bottom
2290,jonah lomu,1.0,bottom
2291,jonathan wild,1.0,top
2292,jordan,4.0,bottom
2293,jordan river,8.0,top
2294,jordanhill railway station,0.0,bottom
2295,jorge luis borges,2.0,bottom
2296,joseph haydn,5.0,top
2297,joseph stalin,13.0,top
2298,joseph and the amazing technicolor dreamcoat,0.0,bottom
2299,josephus,2.0,top
2300,juan sebastián elcano,1.0,center-bottom
2301,judaism,58.0,top
2302,juice,11.0,top
2303,julius caesar,22.0,top
2304,julius and ethel rosenberg,0.0,bottom
2305,july 2006 java earthquake,1.0,bottom
2306,jump rope,0.0,bottom
2307,juniper berry,2.0,bottom
2308,jupiter,98.0,top
2309,jupiter (mythology),19.0,bottom
2310,jurassic,25.0,top
2311,juvenile delinquency,7.0,center-top
2312,jyllands-posten muhammad cartoons controversy,0.0,center-bottom
2313,kīlauea,1.0,center-top
2314,kaffir lime,0.0,bottom
2315,kakapo,4.0,center
2316,kakariki,0.0,center
2317,kangaroo,8.0,center
2318,"kansas city, missouri",9.0,top
2319,karachi,5.0,center
2320,kargil war,1.0,center-top
2321,karikkoselkä,0.0,bottom
2322,karl benz,7.0,top
2323,karl marx,8.0,bottom
2324,karl popper,6.0,bottom
2325,kashmir region,2.0,bottom
2326,katana,4.0,center-bottom
2327,katyn massacre,0.0,bottom
2328,kazakhstan,18.0,bottom
2329,keira knightley,4.0,bottom
2330,kenya,58.0,bottom
2331,kerala,9.0,center-top
2332,kestrel,0.0,bottom
2333,keurusselkä,0.0,center-top
2334,kevin spacey,2.0,bottom
2335,khan wali khan,4.0,bottom
2336,khartoum,1.0,top
2337,khazars,1.0,top
2338,khudai khidmatgar,1.0,center-bottom
2339,kidnapped (novel),0.0,bottom
2340,kiev,3.0,top
2341,kigali,0.0,center
2342,kigo,3.0,bottom
2343,king arthur,7.0,center-bottom
2344,king kong (1933 film),5.0,bottom
2345,king kong (2005 film),4.0,bottom
2346,kingman reef,0.0,top
2347,kipchaks in georgia,0.0,bottom
2348,kiribati,1.0,bottom
2349,kite (bird),3.0,bottom
2350,kitsch,1.0,bottom
2351,klinefelter's syndrome,0.0,center-top
2352,knights of columbus,0.0,bottom
2353,kochi (india),5.0,bottom
2354,kofi annan,6.0,center-bottom
2355,kohlberg's stages of moral development,3.0,bottom
2356,kolkata,5.0,top
2357,konrad lorenz,0.0,bottom
2358,kookaburra,5.0,bottom
2359,korea,9.0,top
2360,koryaksky,0.0,top
2361,kosovo,2.0,bottom
2362,krag-jørgensen,0.0,center-bottom
2363,krakatoa,2.0,center
2364,krazy kat,3.0,center
2365,krill,5.0,top
2366,krypton,6.0,center
2367,ku klux klan,13.0,center-bottom
2368,kuala lumpur,4.0,center-top
2369,kubla khan,4.0,top
2370,kuiper belt,1.0,center-bottom
2371,kurt cobain,9.0,center
2372,kuru (disease),2.0,bottom
2373,kuwait,6.0,bottom
2374,kuwait city,6.0,center
2375,kylie minogue,9.0,bottom
2376,kyoto protocol,2.0,center
2377,kyrgyzstan,5.0,bottom
2378,l. s. lowry,1.0,center
2379,lansa cuzco crash,0.0,bottom
2380,la grande armée,1.0,top
2381,la paz,5.0,bottom
2382,labor day hurricane of 1935,2.0,bottom
2383,ladysmith black mambazo,4.0,bottom
2384,lagos,4.0,center-bottom
2385,laika,5.0,top
2386,lake albert,3.0,center
2387,lake baikal,2.0,top
2388,lake burley griffin,2.0,center-top
2389,lake chad,1.0,center-top
2390,lake district,3.0,top
2391,lake edward,1.0,top
2392,lake kariba,1.0,center-top
2393,lake kivu,1.0,center-top
2394,lake malawi,3.0,top
2395,lake mead,6.0,top
2396,lake powell,3.0,center
2397,lake superior,12.0,top
2398,lake tahoe,2.0,top
2399,lake tanganyika,4.0,center
2400,lake titicaca,4.0,center-bottom
2401,lake toba,3.0,center-top
2402,lake turkana,2.0,top
2403,lake victoria,3.0,center
2404,lake vostok,4.0,center-top
2405,lance armstrong,5.0,center-bottom
2406,lancia flaminia,0.0,bottom
2407,land (economics),7.0,bottom
2408,landform,22.0,bottom
2409,landscape,10.0,top
2410,language,92.0,top
2411,lanthanum,3.0,center-bottom
2412,laos,2.0,bottom
2413,laozi,0.0,center-top
2414,las palmas de gran canaria,4.0,bottom
2415,"las vegas, nevada",11.0,center
2416,last supper,16.0,top
2417,latin,182.0,top
2418,latin america,65.0,center
2419,latin alphabet,35.0,center-bottom
2420,latvia,4.0,bottom
2421,laurence olivier,2.0,top
2422,laurent fignon,1.0,center-top
2423,lavender,2.0,center
2424,law,37.0,top
2425,lawn,9.0,center
2426,lawrencium,3.0,bottom
2427,laws in wales acts 1535–1542,6.0,bottom
2428,layla,0.0,center-top
2429,lead,10.0,center
2430,lead(ii) nitrate,0.0,bottom
2431,league of nations,25.0,top
2432,leaning tower of pisa,4.0,center-bottom
2433,lebanon,12.0,bottom
2434,leeds,4.0,center-bottom
2435,lego,0.0,top
2436,leicester,2.0,center-top
2437,leif ericson,2.0,center-top
2438,leisure,19.0,top
2439,lemon,13.0,top
2440,lemon balm,3.0,center-top
2441,lemon myrtle,1.0,center-bottom
2442,lens (anatomy),8.0,bottom
2443,leo (constellation),0.0,bottom
2444,leo tolstoy,4.0,top
2445,leon trotsky,6.0,center-top
2446,leonardo da vinci,30.0,top
2447,leonhard euler,4.0,center-bottom
2448,lerwick,2.0,top
2449,lesotho,4.0,bottom
2450,lesothosaurus,0.0,bottom
2451,lettuce,8.0,top
2452,"levee failures in greater new orleans, 2005",1.0,bottom
2453,lhasa,3.0,bottom
2454,liberal democrats,5.0,center
2455,liberal democracy,24.0,top
2456,liberalism,15.0,top
2457,liberia,7.0,bottom
2458,libertarianism,12.0,top
2459,library,29.0,top
2460,library of alexandria,6.0,bottom
2461,library of congress,7.0,center
2462,libreville,2.0,top
2463,libya,12.0,bottom
2464,liechtenstein,3.0,bottom
2465,life,135.0,top
2466,light,53.0,top
2467,lighthouse of alexandria,0.0,bottom
2468,lighting designer,8.0,center-top
2469,lightning rod,3.0,top
2470,lille,4.0,center-top
2471,lilongwe,0.0,center-top
2472,lima,7.0,top
2473,limerick,3.0,top
2474,lincoln (automobile),0.0,bottom
2475,lincoln town car,0.0,bottom
2476,lindisfarne gospels,2.0,bottom
2477,linear algebra,5.0,top
2478,linguistics,45.0,bottom
2479,link (the legend of zelda),5.0,bottom
2480,linnet,0.0,bottom
2481,linus pauling,6.0,top
2482,linus torvalds,8.0,top
2483,linux,28.0,top
2484,lion,54.0,top
2485,lipid,9.0,top
2486,liquid crystal,8.0,center-bottom
2487,lisbon,9.0,top
2488,list of african countries,0.0,bottom
2489,list of archbishops of canterbury,1.0,bottom
2490,list of asian countries,0.0,bottom
2491,list of canadian provinces and territories by area,0.0,bottom
2492,list of european union member states by accession,0.0,bottom
2493,list of european countries,0.0,bottom
2494,list of french monarchs,6.0,bottom
2495,list of north american countries,0.0,bottom
2496,list of oceanian countries,0.0,bottom
2497,list of prime ministers of the united kingdom,9.0,top
2498,list of south american countries,0.0,bottom
2499,list of test cricket triple centuries,2.0,bottom
2500,list of u.s. states by date of statehood,14.0,bottom
2501,list of animal welfare groups,0.0,bottom
2502,list of areas in the national park system of the united states,7.0,bottom
2503,list of circulating currencies,21.0,center-bottom
2504,list of countries,8.0,top
2505,list of countries by system of government,32.0,bottom
2506,list of elements by name,18.0,bottom
2507,list of essential oils,5.0,top
2508,list of lakes,0.0,bottom
2509,list of members of the commonwealth of nations by date joined,0.0,bottom
2510,list of minerals,0.0,bottom
2511,list of monarchs in the british isles,5.0,center-top
2512,list of particles,0.0,bottom
2513,list of popes,6.0,top
2514,list of rivers by length,7.0,bottom
2515,list of sovereign states,6.0,top
2516,list of universities in the united kingdom,11.0,bottom
2517,list of vegetable oils,3.0,bottom
2518,list of world's largest lakes,0.0,bottom
2519,literacy,24.0,bottom
2520,literature,72.0,top
2521,lithium,5.0,center
2522,lithium aluminium hydride,6.0,bottom
2523,lithuania,8.0,bottom
2524,little women,1.0,bottom
2525,liverpool,16.0,top
2526,liverpool f.c.,9.0,top
2527,liverpool and manchester railway,5.0,top
2528,llandudno,2.0,bottom
2529,llywelyn the great,2.0,center-top
2530,local community,0.0,bottom
2531,local government in the united kingdom,2.0,bottom
2532,loch,2.0,top
2533,loch ness,3.0,bottom
2534,logba language,0.0,bottom
2535,logic,35.0,top
2536,logistics,4.0,top
2537,lomé,1.0,top
2538,london,275.0,top
2539,london bridge,8.0,top
2540,london underground,31.0,bottom
2541,london zoo,5.0,top
2542,london sewerage system,3.0,center-bottom
2543,lone wolf (gamebooks),0.0,bottom
2544,long-billed vulture,0.0,bottom
2545,long-tailed tit,0.0,bottom
2546,long pepper,4.0,bottom
2547,longship,1.0,center-bottom
2548,looney tunes,21.0,center-top
2549,lope de barrientos,0.0,bottom
2550,lord's resistance army,1.0,center-bottom
2551,lord voldemort,9.0,top
2552,"los angeles, california",43.0,top
2553,lost (tv series),8.0,bottom
2554,lothal,2.0,center-top
2555,lottie dod,0.0,bottom
2556,louis armstrong,12.0,center-bottom
2557,louis freeh,0.0,bottom
2558,louis jordan,1.0,center-top
2559,louis pasteur,10.0,center-bottom
2560,louis xiv of france,12.0,center-top
2561,"louisville, kentucky",5.0,bottom
2562,lovage,4.0,bottom
2563,love,30.0,center-bottom
2564,"lucy, lady duff-gordon",2.0,bottom
2565,ludwig wittgenstein,2.0,bottom
2566,ludwig van beethoven,12.0,center-bottom
2567,luftwaffe,10.0,center-bottom
2568,luminiferous aether,5.0,bottom
2569,lunar eclipse,2.0,top
2570,lung cancer,15.0,bottom
2571,lusaka,6.0,top
2572,lutetium,2.0,center
2573,luxembourg,11.0,bottom
